codfarmacia;aniomes;venta
154;2022-01;3612,083521
151;2022-01;4357,609404
42;2022-01;6290,923577
155;2022-01;7312,498315
156;2022-01;3762,064718
157;2022-01;5085,304298
78;2022-01;5963,54662
101;2022-01;8574,247483
158;2022-01;22126,08799
159;2022-01;5617,556666
160;2022-01;6954,163347
161;2022-01;7685,076385
162;2022-01;8066,355715
163;2022-01;5417,0577
164;2022-01;3051,097653
165;2022-01;3504,586393
168;2022-01;5533,079394
169;2022-01;7823,406404
170;2022-01;7609,730458
171;2022-01;7385,028659
169;2022-01;8547,103937
96;2022-01;2349,468674
172;2022-01;8511,388562
173;2022-01;10982,59294
174;2022-01;5237,616947
175;2022-01;4133,551926
177;2022-01;14168,87384
179;2022-01;14546,50294
180;2022-01;4746,3853
181;2022-01;3346,426557
182;2022-01;5274,25358
183;2022-01;1361,710857
184;2022-01;1376,99046
163;2022-01;6514,535126
186;2022-01;2998,2582
188;2022-01;6103,52355
189;2022-01;14749,82664
190;2022-01;5783,712918
191;2022-01;2697,120133
192;2022-01;6129,182021
193;2022-01;2910,351199
194;2022-01;3429,069906
195;2022-01;4184,328043
197;2022-01;3693,646107
198;2022-01;3439,083794
199;2022-01;2111,47005
200;2022-01;4718,01713
201;2022-01;1585,3334
202;2022-01;1336,654225
203;2022-01;3692,030196
204;2022-01;5322,727144
205;2022-01;9106,622715
206;2022-01;7880,393434
173;2022-01;11151,80099
208;2022-01;11485,86539
170;2022-01;9388,363455
94;2022-01;16294,3955
207;2022-01;21969,38351
72;2022-01;3023,186271
209;2022-01;3826,66452
210;2022-01;7790,424262
212;2022-01;4658,9258
21;2022-01;3059,83601
213;2022-01;8096,210937
215;2022-01;881,4913
16;2022-01;7466,503199
58;2022-01;6679,983042
112;2022-01;3853,773921
13;2022-01;12074,29376
216;2022-01;2994,948723
217;2022-01;3795,3168
108;2022-01;1224,490863
18;2022-01;5575,194808
19;2022-01;8265,554736
218;2022-01;8057,11134
131;2022-01;1555,971079
10;2022-01;6520,622112
34;2022-01;7086,651329
219;2022-01;9275,944499
10;2022-01;7842,438339
42;2022-01;5674,074151
43;2022-01;7915,92959
222;2022-01;6629,666468
223;2022-01;3176,545516
131;2022-01;2059,493595
224;2022-01;4125,251994
40;2022-01;3515,928093
225;2022-01;7734,311393
217;2022-01;1074,74528
227;2022-01;6825,077863
228;2022-01;5937,344401
15;2022-01;11502,1609
229;2022-01;5394,905324
230;2022-01;3381,762851
50;2022-01;97,9714
232;2022-01;4539,001868
233;2022-01;3213,4324
23;2022-01;9140,903594
121;2022-01;4431,817854
224;2022-01;5021,643223
236;2022-01;3239,912658
47;2022-01;1573,2714
126;2022-01;3674,134821
237;2022-01;8452,570515
238;2022-01;2116,080484
239;2022-01;6904,25289
33;2022-01;5024,695258
240;2022-01;16766,19813
241;2022-01;7125,073527
242;2022-01;16969,78517
38;2022-01;2332,96561
244;2022-01;8264,710742
245;2022-01;3768,412578
246;2022-01;2269,596777
247;2022-01;5310,842877
249;2022-01;12314,3113
164;2022-01;2799,331778
251;2022-01;5974,810608
253;2022-01;2486,5716
104;2022-01;6262,228193
254;2022-01;5912,077018
255;2022-01;18876,37346
256;2022-01;5677,85727
176;2022-01;3356,099722
257;2022-01;3845,933373
61;2022-01;8825,563205
258;2022-01;7155,582871
62;2022-01;1914,132729
171;2022-01;6963,549665
96;2022-01;4858,755816
259;2022-01;4128,332797
260;2022-01;7274,55339
101;2022-01;7901,238182
102;2022-01;6468,420782
187;2022-01;3583,414468
262;2022-01;2791,094709
263;2022-01;2216,521734
247;2022-01;5667,924259
100;2022-01;4474,650292
264;2022-01;12716,92294
265;2022-01;2541,277846
63;2022-01;1873,8934
266;2022-01;8499,574885
197;2022-01;4058,570552
208;2022-01;8624,602012
267;2022-01;16706,6722
268;2022-01;7822,278586
201;2022-01;2036,971023
168;2022-01;4069,682361
173;2022-01;11034,05518
95;2022-01;4992,734587
173;2022-01;9226,366725
175;2022-01;3601,431527
70;2022-01;2727,152172
269;2022-01;10043,98734
270;2022-01;6114,431778
128;2022-01;1823,943091
271;2022-01;13899,99455
126;2022-01;3280,017794
272;2022-01;10699,73983
273;2022-01;3936,278784
274;2022-01;3929,4829
275;2022-01;2616,356235
146;2022-01;2666,0954
276;2022-01;10772,44222
277;2022-01;8127,747171
121;2022-01;4088,0809
154;2022-01;3042,406818
278;2022-01;4750,761958
279;2022-01;9352,176948
280;2022-01;5845,771681
229;2022-01;5947,980341
120;2022-01;6401,679206
281;2022-01;4773,341134
116;2022-01;6639,690815
55;2022-01;2420,287992
211;2022-01;4592,425809
282;2022-01;4637,898509
283;2022-01;9480,893824
26;2022-01;4328,943382
119;2022-01;3945,636047
281;2022-01;4233,047264
108;2022-01;1707,979257
144;2022-01;9574,106918
284;2022-01;6662,947671
285;2022-01;2569,938919
286;2022-01;1913,514866
221;2022-01;5602,337264
220;2022-01;8965,92254
10;2022-01;6348,76661
289;2022-01;5734,687687
122;2022-01;21471,5004
35;2022-01;4891,28518
290;2022-01;7786,471898
240;2022-01;17841,82575
291;2022-01;6561,495806
292;2022-01;5500,038767
293;2022-01;11684,07118
272;2022-01;11922,63785
142;2022-01;1849,8464
17;2022-01;2039,6531
111;2022-01;5148,398763
294;2022-01;5071,012915
135;2022-01;8033,07847
295;2022-01;424,3232
296;2022-01;5086,304299
116;2022-01;7143,311015
117;2022-01;8206,123748
297;2022-01;2866,102246
172;2022-01;9631,581191
299;2022-01;16619,1133
197;2022-01;3504,047756
300;2022-01;6649,458072
179;2022-01;12416,45529
301;2022-01;3090,922553
302;2022-02;1438,307099
65;2022-02;4968,73919
210;2022-02;8466,993161
303;2022-02;1418,155
71;2022-02;8984,290106
168;2022-02;6548,358349
307;2022-02;3640,135276
84;2022-02;6645,408143
308;2022-02;13236,18437
309;2022-02;4690,029729
310;2022-02;3341,959166
311;2022-02;5347,127239
312;2022-02;3461,600207
313;2022-02;2952,153714
159;2022-02;5804,154421
160;2022-02;5793,978848
315;2022-02;9971,857661
76;2022-02;4389,691446
89;2022-02;2599,568028
316;2022-02;1767,7817
210;2022-02;7160,212004
72;2022-02;2128,772176
317;2022-02;5557,347682
318;2022-02;12134,0286
319;2022-02;8129,993773
320;2022-02;8602,723891
321;2022-02;1407,592477
72;2022-02;2477,6691
176;2022-02;4413,34054
68;2022-02;9332,938745
322;2022-02;6616,091478
174;2022-02;4819,661253
323;2022-02;4459,136926
159;2022-02;5714,299937
324;2022-02;7545,905802
325;2022-02;11046,27249
326;2022-02;5913,065787
104;2022-02;7188,392284
182;2022-02;5361,10744
327;2022-02;8156,539763
311;2022-02;5363,038809
84;2022-02;6998,293043
162;2022-02;8142,932186
98;2022-02;10962,5223
42;2022-02;7138,126239
43;2022-02;7642,183386
153;2022-02;12202,42892
292;2022-02;4658,260986
224;2022-02;4448,489
276;2022-02;10689,73302
329;2022-02;9443,83711
35;2022-02;5411,551103
328;2022-02;5630,247645
147;2022-02;2530,8169
271;2022-02;18567,28947
228;2022-02;5128,554391
332;2022-02;7358,43583
333;2022-02;6253,930568
29;2022-02;4883,039731
334;2022-02;5211,665846
120;2022-02;7426,127558
335;2022-02;4885,226842
336;2022-02;4695,170572
214;2022-02;951,125892
337;2022-02;8039,381019
338;2022-02;4730,190618
339;2022-02;4749,590142
17;2022-02;2196,5916
9;2022-02;9351,996429
340;2022-02;8844,580433
123;2022-02;9525,124357
274;2022-02;4373,897039
3;2022-02;9670,062575
4;2022-02;7210,737542
241;2022-02;7456,604295
221;2022-02;7764,420318
1;2022-02;5555,705076
153;2022-02;12113,76342
341;2022-02;6783,1439
126;2022-02;3669,944064
338;2022-02;4954,556124
231;2022-02;13288,0813
342;2022-02;4388,959105
22;2022-02;3336,746867
23;2022-02;10006,03211
343;2022-02;3672,24093
212;2022-02;2513,0386
233;2022-02;2877,9183
18;2022-02;5629,506028
345;2022-02;7264,804836
52;2022-02;3303,644716
234;2022-02;5159,676808
216;2022-02;2741,461987
346;2022-02;5399,865439
258;2022-02;6462,613194
349;2022-02;2506,915108
350;2022-02;9928,082844
92;2022-02;5238,572462
351;2022-02;8129,421281
210;2022-02;6610,64642
317;2022-02;5770,39913
209;2022-02;3073,247338
256;2022-02;6254,245245
207;2022-02;23989,86402
352;2022-02;5985,68842
205;2022-02;8008,711538
323;2022-02;4572,326999
253;2022-02;466,7165
354;2022-02;5455,850511
355;2022-02;6020,772907
106;2022-02;7773,187462
248;2022-02;5714,133461
356;2022-02;5198,335469
80;2022-02;7478,850376
254;2022-02;5097,5826
104;2022-02;6416,405576
260;2022-02;12504,4266
78;2022-02;6192,389542
357;2022-02;2941,393883
358;2022-02;15569,99097
207;2022-02;19635,38565
257;2022-02;5948,573058
298;2022-02;5483,685026
361;2022-02;7949,752904
349;2022-02;3373,61562
166;2022-02;14976,25761
362;2022-02;12956,40793
267;2022-02;17429,69373
268;2022-02;5861,457854
305;2022-02;7336,94301
299;2022-02;17104,2153
306;2022-02;6355,213214
363;2022-02;7216,527393
364;2022-02;17164,88482
358;2022-02;14915,0005
244;2022-02;9706,653986
365;2022-02;3919,6804
187;2022-02;3685,547134
251;2022-02;5284,441308
76;2022-02;4124,395457
350;2022-02;12149,49105
266;2022-02;8825,987271
360;2022-02;9536,327808
319;2022-02;7199,2469
361;2022-02;10099,69118
201;2022-02;1875,800283
305;2022-02;8435,528067
268;2022-02;7183,673761
88;2022-02;5827,866746
298;2022-02;4765,724865
369;2022-02;5318,652259
370;2022-02;15299,97457
176;2022-02;5276,405824
255;2022-02;15743,29918
269;2022-02;9393,612624
103;2022-02;3820,942574
371;2022-02;5521,518129
355;2022-02;7209,420913
187;2022-02;3949,779393
373;2022-02;555,2185
87;2022-02;4187,18825
374;2022-02;6533,083508
185;2022-02;4360,159898
375;2022-02;1435,806728
376;2022-02;9793,533293
99;2022-02;6104,689958
377;2022-02;4843,823368
101;2022-02;6194,765843
176;2022-02;3598,363368
209;2022-02;3222,543661
65;2022-02;4087,102202
259;2022-02;4284,092173
298;2022-02;5111,877937
90;2022-02;6845,151733
203;2022-02;3765,516559
305;2022-02;9662,98094
346;2022-02;5223,003758
61;2022-02;9311,258123
171;2022-02;6999,319062
259;2022-02;4105,721456
100;2022-02;4868,887522
185;2022-02;4124,064068
164;2022-02;2606,900784
355;2022-02;8367,104491
379;2022-02;1763,049576
251;2022-02;6807,850681
380;2022-02;4056,252487
102;2022-02;5734,136359
381;2022-02;4967,308287
341;2022-02;6672,891599
287;2022-02;8830,187207
239;2022-02;6490,3933
385;2022-02;9478,854331
132;2022-02;5896,938765
147;2022-02;3347,43617
156;2022-02;3570,325062
386;2022-02;12805,18875
345;2022-02;9869,996026
18;2022-02;6316,564002
216;2022-02;2480,852115
13;2022-02;12152,87846
388;2022-02;8655,384792
143;2022-02;10733,0194
389;2022-02;5024,188469
229;2022-02;5656,192335
390;2022-02;2119,3664
25;2022-02;8918,048802
391;2022-02;5551,978636
134;2022-02;9032,730698
343;2022-02;3985,10822
7;2022-02;16587,72374
131;2022-02;1719,273575
147;2022-02;37,561
329;2022-02;9648,072937
220;2022-02;9728,234046
341;2022-02;10135,39278
222;2022-02;6120,550801
392;2022-02;9543,437111
151;2022-02;2739,480671
278;2022-02;2959,015799
393;2022-02;4321,5791
7;2022-02;16037,81518
5;2022-02;10804,24496
328;2022-02;7069,444303
224;2022-02;4299,182128
212;2022-02;4557,9238
394;2022-02;6911,728194
213;2022-02;8550,70878
343;2022-02;5370,286995
336;2022-02;5227,430487
22;2022-02;3532,593233
112;2022-02;4408,388379
395;2022-02;6582,881957
396;2022-02;8870,018004
140;2022-02;2321,673491
112;2022-02;3958,909
397;2022-02;2282,072
13;2022-02;12033,57835
333;2022-02;6141,131684
394;2022-02;8611,77707
120;2022-02;6608,369844
315;2022-02;11441,51478
252;2022-02;6326,396226
161;2022-02;7704,824637
75;2022-02;5286,271
98;2022-02;7163,366911
101;2022-02;9469,627979
104;2022-02;6079,968134
399;2022-02;5057,277522
183;2022-02;2107,406575
80;2022-02;9865,615467
377;2022-02;3102,170079
99;2022-02;6120,168669
246;2022-02;2382,455668
170;2022-02;9010,278004
267;2022-02;20952,40511
400;2022-02;3323,451958
209;2022-02;3832,398711
401;2022-02;6383,486889
320;2022-02;9366,828983
318;2022-02;10209,37412
317;2022-02;5231,109094
88;2022-02;6107,829779
173;2022-02;10831,38965
205;2022-02;8937,983588
368;2022-02;2214,181681
202;2022-02;1265,552764
97;2022-02;8364,983314
404;2022-02;8668,263131
405;2022-02;4154,303386
406;2022-02;4654,095139
79;2022-02;6021,846183
308;2022-02;12097,59505
377;2022-02;5534,897083
101;2022-02;8532,589617
407;2022-02;5021,29209
191;2022-02;1511,956157
358;2022-02;12318,62743
188;2022-02;5918,548572
161;2022-02;9818,037797
374;2022-02;7691,445598
88;2022-02;5859,288094
359;2022-02;4827,476184
368;2022-02;2397,178354
200;2022-02;5940,670445
318;2022-02;9974,020349
198;2022-02;3701,081786
269;2022-02;9718,12123
302;2022-02;1121,851157
301;2022-02;2591,600429
408;2022-02;6964,579822
62;2022-02;1969,861947
16;2022-02;8415,8963
409;2022-02;3544,318954
107;2022-02;2694,073011
135;2022-02;7087,438488
295;2022-02;4230,415103
232;2022-02;4038,977682
211;2022-02;4518,459318
338;2022-02;4584,080091
396;2022-02;6634,003682
49;2022-02;7934,981116
297;2022-02;2900,10464
2;2022-02;7684,42937
32;2022-02;8178,447884
279;2022-02;10776,38949
329;2022-02;8698,772018
156;2022-02;3474,936107
122;2022-02;19156,1279
277;2022-02;8794,539493
37;2022-02;2326,878563
4;2022-02;7974,878782
130;2022-02;6417,324258
274;2022-02;5300,098974
410;2022-02;12484,05047
272;2022-02;14095,25343
240;2022-02;20202,96316
332;2022-02;6234,467343
396;2022-02;8151,90163
139;2022-02;7236,620008
391;2022-02;6516,443365
344;2022-02;7148,925236
110;2022-02;9471,60389
51;2022-02;7622,613831
411;2022-02;4651,007098
109;2022-02;4552,404019
115;2022-02;1752,611483
389;2022-02;4977,020025
112;2022-02;5161,1277
111;2022-02;6262,209335
128;2022-02;2728,9507
271;2022-02;15371,77214
276;2022-02;8693,325711
412;2022-02;2754,5176
274;2022-02;4544,246546
393;2022-02;6961,5135
413;2022-02;4805,189047
36;2022-02;5109,394244
123;2022-02;9417,30633
44;2022-02;3089,091392
239;2022-02;5355,036914
340;2022-02;7889,436559
279;2022-02;9493,992406
414;2022-02;432957,1632
100;2022-02;4344,302304
189;2022-02;16027,7617
357;2022-02;3159,932628
102;2022-02;5845,511277
407;2022-02;4480,668877
309;2022-02;4592,087787
415;2022-02;5231,778455
251;2022-02;4861,541621
379;2022-02;1311,615081
406;2022-02;9657,99354
369;2022-02;4907,396156
207;2022-02;18132,2562
90;2022-02;7677,400097
319;2022-02;8868,504314
175;2022-02;3765,577697
256;2022-02;5133,8184
176;2022-02;4453,847082
255;2022-02;21391,36387
71;2022-02;10070,61288
269;2022-02;9581,857219
197;2022-02;3474,586039
319;2022-02;6772,07453
349;2022-02;3880,660736
62;2022-02;1584,603263
267;2022-02;16265,05556
268;2022-02;8754,394279
346;2022-02;4866,007668
354;2022-02;5352,754493
254;2022-03;3807,267389
190;2022-03;5987,190476
364;2022-03;15578,5137
306;2022-03;10485,71875
250;2022-03;7928,504857
96;2022-03;3988,813352
418;2022-03;7857,732252
258;2022-03;5910,384981
208;2022-03;7615,808828
67;2022-03;2980,0126
63;2022-03;8094,341526
351;2022-03;8577,418648
378;2022-03;4194,15372
350;2022-03;9404,818025
66;2022-03;8555,120208
175;2022-03;3972,003313
176;2022-03;4697,219462
68;2022-03;10582,44751
400;2022-03;5581,098795
60;2022-03;2068,4499
74;2022-03;7074,464049
48;2022-03;17863,81679
338;2022-03;4969,917732
56;2022-03;3893,16839
135;2022-03;7695,659245
107;2022-03;2540,243514
390;2022-03;1221,59309
409;2022-03;3009,795256
334;2022-03;3748,497905
15;2022-03;9314,106312
143;2022-03;12012,28248
137;2022-03;8156,733783
420;2022-03;5035,725604
124;2022-03;3022,896496
147;2022-03;2761,8548
289;2022-03;4363,038042
225;2022-03;9167,065401
40;2022-03;2628,914595
1;2022-03;5384,215391
45;2022-03;2552,4831
43;2022-03;11711,91476
32;2022-03;7871,993511
421;2022-03;3008,49234
29;2022-03;6301,945708
409;2022-03;3570,121406
345;2022-03;8737,76514
55;2022-03;4919,629701
411;2022-03;5027,098231
335;2022-03;4888,901561
119;2022-03;6559,453091
422;2022-03;9556,539457
229;2022-03;6233,731388
338;2022-03;5278,151697
16;2022-03;8332,528891
153;2022-03;11199,1126
151;2022-03;2582,163601
287;2022-03;7313,913679
44;2022-03;4159,792596
4;2022-03;8128,290481
40;2022-03;2616,770047
393;2022-03;13998,8523
277;2022-03;8705,571374
131;2022-03;1625,629359
123;2022-03;10000,61695
423;2022-03;5929,620393
9;2022-03;8016,209696
240;2022-03;17699,7757
33;2022-03;4684,423108
293;2022-03;9594,758315
239;2022-03;7513,593482
337;2022-03;10695,27247
217;2022-03;2018,053734
284;2022-03;6494,408695
285;2022-03;2157,062365
424;2022-03;2261,168526
421;2022-03;1245,871477
396;2022-03;8959,200064
234;2022-03;4353,838701
52;2022-03;3772,256061
26;2022-03;4637,950247
232;2022-03;4776,556982
425;2022-03;1698,564815
155;2022-03;7534,233355
340;2022-03;8575,972398
152;2022-03;10167,53791
426;2022-03;5451,965073
271;2022-03;14625,44652
292;2022-03;5327,41385
272;2022-03;9962,017109
274;2022-03;4525,779372
410;2022-03;8537,794009
412;2022-03;2672,505864
330;2022-03;4853,230384
413;2022-03;5325,542333
21;2022-03;3495,622365
25;2022-03;10162,19171
296;2022-03;5437,088
395;2022-03;5499,248362
28;2022-03;7234,819421
427;2022-03;4417,054069
230;2022-03;3299,408599
143;2022-03;9873,908337
396;2022-03;6616,865975
285;2022-03;3395,2317
56;2022-03;4752,698966
228;2022-03;9114,716179
20;2022-03;3305,15963
18;2022-03;6881,834695
410;2022-03;11920,57564
7;2022-03;15007,14811
224;2022-03;3289,787199
273;2022-03;4183,470873
271;2022-03;14544,73682
293;2022-03;9656,509152
127;2022-03;9198,026328
287;2022-03;8359,937348
279;2022-03;9329,476762
240;2022-03;16638,29676
340;2022-03;8212,924594
277;2022-03;7599,832576
329;2022-03;9753,144093
100;2022-03;3207,824609
191;2022-03;1594,175886
428;2022-03;3112,012264
77;2022-03;1390,155977
314;2022-03;5583,086736
374;2022-03;7140,455029
86;2022-03;6422,147046
250;2022-03;8953,924563
84;2022-03;6465,168717
404;2022-03;8124,135088
97;2022-03;8879,922155
103;2022-03;4027,721635
99;2022-03;1419,6662
308;2022-03;13561,06967
377;2022-03;4616,06227
80;2022-03;10568,54817
303;2022-03;1635,0059
65;2022-03;4742,088761
347;2022-03;9,0282
298;2022-03;5035,983297
96;2022-03;5723,91992
94;2022-03;14957,07253
89;2022-03;2619,633705
359;2022-03;5460,593491
206;2022-03;7764,819949
370;2022-03;12629,65331
431;2022-03;8675,139511
166;2022-03;14893,38388
432;2022-03;20681,85916
194;2022-03;3067,404488
360;2022-03;8127,505969
300;2022-03;6051,887546
199;2022-03;2162,769679
434;2022-03;3084,8315
435;2022-03;3768,811738
254;2022-03;4343,178518
381;2022-03;4526,830631
80;2022-03;9838,992033
79;2022-03;5500,177815
248;2022-03;5524,508765
436;2022-03;14434,59457
250;2022-03;7920,8564
84;2022-03;7535,485884
162;2022-03;7585,588182
380;2022-03;3221,1074
106;2022-03;10808,74277
354;2022-03;5084,084215
437;2022-03;6438,294104
380;2022-03;4679,098278
160;2022-03;5929,283631
260;2022-03;14597,03985
417;2022-03;6245,903624
321;2022-03;1549,68386
349;2022-03;2448,985391
400;2022-03;5122,644048
300;2022-03;5811,84538
368;2022-03;1654,58783
359;2022-03;5316,857407
366;2022-03;2145,18679
438;2022-03;3995,096012
93;2022-03;11043,84751
59;2022-03;4015,289781
439;2022-03;4513,51715
378;2022-03;3204,123575
400;2022-03;3311,162992
440;2022-03;8014,641781
266;2022-03;11204,37088
408;2022-03;5814,07409
432;2022-03;20137,92647
402;2022-03;7949,115184
320;2022-03;9091,960624
259;2022-03;4060,895313
319;2022-03;9239,925986
198;2022-03;3995,584146
194;2022-03;3170,571676
203;2022-03;3812,035153
362;2022-03;12440,27175
202;2022-03;1531,6171
370;2022-03;10383,02904
174;2022-03;4915,773891
88;2022-03;6968,975448
322;2022-03;6552,380354
204;2022-03;6670,610337
418;2022-03;8465,50229
60;2022-03;1863,7276
265;2022-03;587,3937959
92;2022-03;7520,255934
402;2022-03;9068,463153
63;2022-03;6892,7847
103;2022-03;3785,45599
180;2022-03;4478,512136
434;2022-03;2227,944781
308;2022-03;11884,00798
254;2022-03;4145,798071
87;2022-03;5187,741598
163;2022-03;5560,827224
162;2022-03;6903,792593
161;2022-03;8408,526586
444;2022-03;8292,718454
192;2022-03;5828,950756
439;2022-03;1518,627
401;2022-03;3426,097187
258;2022-03;6721,75324
59;2022-03;3457,089833
445;2022-03;8466,084761
172;2022-03;7865,955773
322;2022-03;7419,985324
302;2022-03;1461,016397
259;2022-03;5271,367657
325;2022-03;10104,12858
379;2022-03;1698,075389
414;2022-03;392881,2581
444;2022-03;9877,483193
158;2022-03;22183,46318
406;2022-03;7497,199706
249;2022-03;12248,80354
97;2022-03;8610,633971
162;2022-03;9219,84063
103;2022-03;3843,834311
100;2022-03;4957,585721
363;2022-03;4122,887429
446;2022-03;6993,475131
381;2022-03;5397,305417
447;2022-03;5385,935262
147;2022-03;2059,865604
5;2022-03;13065,46923
146;2022-03;2499,32911
410;2022-03;12786,32241
393;2022-03;7429,1067
127;2022-03;10505,60888
150;2022-03;3962,460653
151;2022-03;3138,72878
219;2022-03;10079,51404
10;2022-03;6693,174091
279;2022-03;9807,131997
277;2022-03;8642,722741
328;2022-03;6206,504937
232;2022-03;4001,448322
344;2022-03;6972,065689
448;2022-03;2212,155512
139;2022-03;6749,728779
421;2022-03;3698,886571
16;2022-03;8537,45305
11;2022-03;7464,240886
27;2022-03;5855,604713
335;2022-03;4413,07125
145;2022-03;8346,881334
109;2022-03;3284,560164
53;2022-03;5235,957363
449;2022-03;6822,532006
155;2022-03;7860,898747
122;2022-03;17568,4449
277;2022-03;7686,225409
219;2022-03;7522,828611
340;2022-03;8391,823043
127;2022-03;8884,770078
271;2022-03;15818,95376
330;2022-03;4927,795931
7;2022-03;16066,69975
393;2022-03;11004,042
109;2022-03;4653,488855
107;2022-03;2183,623399
119;2022-03;4344,341323
16;2022-03;8821,750519
286;2022-03;1864,889656
58;2022-03;5768,379421
111;2022-03;5606,814119
138;2022-03;20315,76537
137;2022-03;8323,048725
421;2022-03;3108,424423
114;2022-03;2404,016647
422;2022-03;10646,97334
412;2022-03;3860,194
123;2022-03;8062,652271
386;2022-03;13870,06836
279;2022-03;8777,874533
124;2022-03;3297,885212
278;2022-03;4512,149902
151;2022-03;2966,992541
42;2022-03;6578,029181
287;2022-03;8234,642545
232;2022-03;4751,489084
336;2022-03;4306,179849
30;2022-03;5685,193079
115;2022-03;2295,054569
227;2022-03;6513,435073
451;2022-03;2212,128415
332;2022-03;6045,343546
107;2022-03;2298,833798
217;2022-03;3219,6724
334;2022-03;5064,658822
41;2022-03;2843,656408
225;2022-03;8670,559013
127;2022-03;7186,582829
2;2022-03;7119,664705
222;2022-03;4621,064219
392;2022-03;8474,886264
151;2022-03;3881,964396
240;2022-03;17711,63534
452;2022-03;8862,007288
129;2022-03;9933,01697
39;2022-03;3412,954059
131;2022-03;2696,765775
123;2022-03;9720,700121
453;2022-03;5262,665745
116;2022-03;6681,5503
217;2022-03;1343,593342
409;2022-03;3338,416962
345;2022-03;7301,72073
120;2022-03;6419,379222
18;2022-03;5871,72963
58;2022-03;5988,116057
140;2022-03;2347,483108
57;2022-03;5683,220901
16;2022-03;10681,05679
